review_id,review_text,qwen2.5-coder:7b_sentiment,qwen2.5-coder:7b_main_topic,qwen2.5-coder:7b_issue,qwen2.5-coder:7b_rating,qwen2.5-coder:3b_sentiment,qwen2.5-coder:3b_main_topic,qwen2.5-coder:3b_issue,qwen2.5-coder:3b_rating,qwen2.5-coder:1.5b_sentiment,qwen2.5-coder:1.5b_main_topic,qwen2.5-coder:1.5b_issue,qwen2.5-coder:1.5b_rating
1,"Дрон отличный, но батарея разряжается быстро. Камеры хорошего качества, стабилизация работает прекрасно.",положительный,качество камеры,короткое время работы батареи,4,положительный,качество камеры,короткое время работы батареи,4,положительный,качество камеры,короткое время работы батарея,4
2,"Время полета всего 15 минут, этого недостаточно для серьезной съемки. Качество видео в 4K отличное.",отрицательный,время полета,короткое время работы батареи,3,положительный,время полета,короткое время работы батареи,3,отрицательный,время полета,короткое время работы батареи,1
3,"Проблемы с GPS навигацией, дрон теряет связь на больших расстояниях. Пульт управления удобный.",отрицательный,gps,"проблемы с GPS навигацией, дрон теряет связь на больших расстояниях",3,отрицательный,gps,проблемы с GPS навигацией,3,отрицательный,батарея,короткое время работы батареи,2
4,"Отличный дрон для начинающих, прост в управлении, стабилизация камеры работает хорошо.",положительный,управление,отличное качество съемки,5,положительный,управление,стабилизация камеры,5,положительный,качество камеры,короткое время работы батареи,4
5,"Камера снимает размыто, автофокус не справляется. Батареи хватает на 20 минут полета.",отрицательный,камера и автофокус,"размытые снимки, проблемы с автофокусом",2,отрицательный,качество камеры,короткое время работы батареи,3,отрицательный,качество камеры,короткое время работы батареи,2
6,"Мощные моторы, быстрый набор высоты. Но приложение для управления часто вылетает.",нейтральный,управление,частые вылеты приложения для управления,3,положительный,управление,приложение для управления часто вылетает,3,положительный,качество камеры,короткое время работы батареи,4
7,"Отличное качество сборки, прошивка регулярно обновляется. GPS стабильно работает.",положительный,качество сборки,проблемы с подключением,5,положительный,качество сборки,короткое время работы батареи,4,положительный,качество сборки,короткое время работы батареи,4
8,Пропеллеры легко ломаются при малейшем столкновении. Нужно покупать запасные.,отрицательный,пропеллеры,легко ломаются при малейшем столкновении,2,отрицательный,пропеллеры,легко ломаются при малейшем столкновении,2,отрицательный,батарея,короткое время работы батареи,1
9,"Дальность полета превышает заявленную, связь стабильная даже на 2 км.",положительный,дальность полета и связь,стабильная связь на больших расстояниях,5,положительный,ремонт,неисправность устройства,3,положительный,качество камеры,короткое время работы батареи,4
10,"Шумный дрон, моторы издают громкий звук. Но качество съемки компенсирует этот недостаток.",нейтральный,шум дрона,громкий звук от моторов,3,положительный,качество съемки,короткое время работы батареи,4,положительный,качество съемки,короткое время работы батареи,3
